Question,Answer
"4. “Numeric Data” is used to store ____________
a) Whole numbers
b) Natural numbers
c) Rational numbers
d) Both Whole and Natural numbers
View Answer","Answer: d
Explanation: None."
"5. Which Numeric Data type has the largest range?
a) Mediumint
b) Smallint
c) Int
d) Tinyint
View Answer","Answer: c
Explanation: None."
"6. What will be the storage pattern for “float(4,2)” in Mysql?
a) Total of four digits, two to the left of decimal and two to the right of decimal
b) Total of six digits
c) Total of four digits, not distributed uniformly
d) None of the mentioned
View Answer","Answer: a
Explanation: As per standards."
"7. Which among the following are the correct representation of “float(4,2)”?
a) 24.33
b) 124.4
c) 12.123
d) Both 24.33 and 124.4
View Answer","Answer: d
Explanation: Float(4,2) allowed at most 2 digit at right of the decimal and left of the decimal."
"8. Which among the following is the correct representation of “float(5,0)”?
a) 12345.123
b) 12345.1
c) 12345
d) 123.123
View Answer","Answer: c
Explanation: “float(5,0) says there should be total of five digit, in which no digit should be at the right of the decimal."
"9. Which among the following is the correct representation of “float(1,1)”?
a) Total of 1 digit
b) Total of 2 digit
c) Total of 2 digit, one digit at right of the decimal, one digit at left of the decimal
d) None of the mentioned
View Answer","Answer: a
Explanation: None."
"1. Which data type is used to store data and time in Mysql?
a) Numeric data type
b) Text data type
c) Temporal data type
d) Char/Varchar
View Answer","Answer: c
Explanation: Temporal data are used for storing Date, Time, TimeStamp or Datetime."
"2. What is the default format for “Date” data type?
a) YYYY-MM-DD
b) MM-YYYY-DD
c) DD-MM-YYYY
d) None of the mentioned
View Answer","Answer: a
Explanation: Default means values that are assumed by the server."
"3. What is the default format for “Datetime” data type?
a) YYYY-MM-DD   HH:MI:SS
b) MM-YYYY-DD   HH:MI:SS
c) DD-YYYY-MM    MI:HH:SS
d) None of the mentioned
View Answer","Answer: a
Explanation: Default means values that are assumed by the server."
"4. What is the default format for “Timestamp” data type?
a) YYYY-MM-DD   HH:MI:SS
b) MM-YYYY-DD   HH:MI:SS
c) DD-YYYY-MM    MI:HH:SS
d) None of the mentioned
View Answer","Answer: a
Explanation: Default means values that are assumed by the server."
"5. What is the default format for “Year” data type?
a) YYYY
b) YYYY-DD-MM
c) MM-YYYY-DD
d) None of the mentioned
View Answer","Answer: a
Explanation: Default means values that are assumed by the server."
"6. What is the default format for “Time” data type?
a) HHH:MI:SS
b) SS:MI:HHH
c) MI:SS:HHH
d) None of the mentioned
View Answer","Answer: a
Explanation: Default means values that are assumed by the server."
"7. Is “Datetime” and “Timestamp” are same data type?
a) Yes
b) No
c) Depends
d) None of the mentioned
View Answer","Answer: a
Explanation: “Timestamp” column will automatically be populated with current Date/time by the Mysql server, when any row modified."
"8. Which value will show an error when stored in float(4,2)?
a) 12.11
b) 13.1
c) 1.12
d) 123.44
View Answer","Answer: d
Explanation: “Float(4,2)” cannot store more than 4 digits."
"1. The datatype for single precision floating point number is ____________
a) FLOAT
b) DOUBLE
c) INT
d) BIGINT
View Answer","Answer: a
Explanation: There are various numeric datatypes in MySQL. Some of them are TINYINT, SMALLINT, BIGINT, FLOAT, DOUBLE and BIT. ‘FLOAT’ is for single precision floating point numbers unlike DOUBLE."
"2. Which datatype is used for a fixed length binary string?
a) VARCHAR
b) BINARY
c) VARBINARY
d) BLOB
View Answer","Answer: b
Explanation: MySQL has a variety of string datatypes for use. Strings can hold arbitrary binary data. All the four options are string type names. BINARY is used for a fixed length binary string."
"3. Which datatype means a variable length non binary string?
a) VARCHAR
b) BINARY
c) VARBINARY
d) BLOB
View Answer","Answer: a
Explanation: In MySQL, there are a wide variety of string datatypes for use. Strings can even hold image and sound data. All the four options are string type names. VARCHAR represents a variable length non binary string."
"4. Which data and time datatype stores time value in ‘hh:mm:ss’ format?
a) DATE
b) TIME
c) DATETIME
d) TIMESTAMP
View Answer","Answer: b
Explanation: MySQL has some variety of date and time datatypes. These datatypes are crucial for representing records in a table. The ‘TIME’ type represents a time value, stored in the ‘hh:mm:ss’ format."
"5. Which spatial datatype is used to store a curve?
a) GEOMETRY
b) POINT
c) LINESTRING
d) POLYGON
View Answer","Answer: c
Explanation: In MySQL, there are many spatial datatypes available for use. Some examples are GEOMETRY, POINT, LINESTRING and POLYGON. The LINESTRING type is used to represent a curve."
"6. How many of the following attributes are allowed only for numeric types?a) 1
b) 2
c) 3
d) 4
View Answer","Answer: b
Explanation: UNSIGNED and ZEROFILL are allowable only for numeric types, and CHARACTER SET and COLLATE are allowable only for non-binary string types. These are type specific attributes."
"7. A DEFAULT value cannot be supplied to spatial types.
a) True
b) False
View Answer","Answer: a
Explanation: For every data type except the BLOB and TEXT types, spatial types, or columns with the AUTO_INCREMENT attribute, a DEFAULT def_value clause can be specified to keep a default value for a column."
"8. A DEFAULT value cannot be supplied to TEXT types.
a) True
b) False
View Answer","Answer: a
Explanation: The DEFAULT def_value clause can be specified for every data type except the BLOB and TEXT types, spatial types, or columns with the AUTO_INCREMENT attribute. The def_value holds the default."
"9. The datatype INT stores ___________
a) 16 bit
b) 32 bit
c) 48 bit
d) 64 bit
View Answer","Answer: b
Explanation: Numeric datatypes in MySQL are many. Each numeric datatype used in MySQL have their own ranges in terms of bits. The INT datatype stores signed and unsigned values of 32 bits."
"10. The datatype SMALLINT stores ___________
a) 16 bit
b) 32 bit
c) 48 bit
d) 8 bit
View Answer","Answer: a
Explanation: In MySQL, the numeric datatypes are many. A numeric datatype used in MySQL has its own range in terms of bits. The SMALLINT datatype stores signed and unsigned values of 16 bits."
"1. The maximum non zero value for FLOAT is ___________
a) 3.402823466E+38
b) 3.402823466E+37
c) 3.402823466E+39
d) 3.402823466E+35
View Answer","Answer: a
Explanation: In MySQL, each datatype has its own range. Data types give an idea of the kind of values and the ranges that a variable is allowed to store. The maximum non zero value for FLOAT is 3.402823466E+38."
"2. The maximum non zero values for DOUBLE is ___________
a) ±1.7976931348623157E+307
b) ±1.7976931348623157E+308
c) ±1.7976931348623157E+306
d) ±1.7976931348623157E+305
View Answer","Answer: b
Explanation: In MySQL, all the datatypes have their own ranges. Data types give an idea of the kind of values and the ranges that a variable is allowed to store. The maximum non zero value for DOUBLE is ±1.7976931348623157E+308."
"3. The storage size in bytes required for the MEDIUMINT datatype is ___________
a) 1
b) 2
c) 3
d) 4
View Answer","Answer: c
Explanation: The numeric datatypes used in MySQL vary over ranges. There are a variety of INT types in the type specification. TINYINT requires 1, SMALLINT requires 2 bytes and MEDIUMINT requires 3."
"4. The size of the BIT type is ___________
a) 1
b) 2
c) 3
d) variable
View Answer","Answer: d
Explanation: All the numeric datatypes used in MySQL vary over the fields. However the maximum size is fixed. Unlike the other numeric types the size of the BIT datatype depends on the length of the field."
"5. The REAL type is synonym for ___________
a) FLOAT
b) INT
c) DOUBLE
d) BIT
View Answer","Answer: c
Explanation: The REAL datatype, by default, is for the DOUBLE type. Floating point types can be defined as UNSIGNED. This eliminates the negative end of the type ranges. MySQL has a variety of default types."
"6. The maximum number of elements allowed in SET() is ___________
a) 16
b) 32
c) 64
d) 128
View Answer","Answer: c
Explanation: The SET type specification is very useful for storing a collection a ordered and distinct elements. The storage size required for this datatype is variable and dependent on the cardinality."
"7. The number of binary string types among the following is ___________a) 1
b) 2
c) 3
d) 4
View Answer","Answer: c
Explanation: In MySQL, the string datatypes are broadly categorised into two, namely, binary string types and non binary string types. BINARY, VARBINARY and BLOB are the binary string datatypes."
"8. The maximum size in bytes of a row in MySQL is __________
a) 65534
b) 65535
c) 65536
d) 65537
View Answer","Answer: b
Explanation: The allowable range of M for VARCHAR(M) syntactically is 1 to 65535, but the effective number of the maximum characters is less than 65535 since MySQL has a maximum row size of 65,535 bytes."
"9. MEMORY tables do not support BLOB and TEXT indexes.
a) True
b) False
View Answer","Answer: a
Explanation: BLOB or TEXT columns sometimes can be indexed, depending on the storage engine. MEMORY tables do not support BLOB and TEXT indexes. The MEMORY engine does not support BLOB or TEXT."
"10. MySQL works with spatial values in 3 formats.
a) True
b) False
View Answer","Answer: a
Explanation: MySQL works with the spatial values in three formats. They are the internal format, the Well-Known Text (WKT) and the Well-Known Binary(WKB) formats for the spatial datatypes."
"1. By default, MySQL clips out of range numeric values to the nearest fit value.
a) True
b) False
View Answer","Answer: a
Explanation: For the numeric or TIME columns, the values that are outside the legal range are clipped to the nearest endpoint of the range. The resulting value is stored. This is the method to handle defaults for numerics."
"2. For which type are illegal values converted to the appropriate ‘zero’ value?
a) Numeric
b) String
c) ENUM
d) TIME
View Answer","Answer: d
Explanation: In MySQL, there are different ways to handle the illegal values for different datatypes for default. For date or time columns, illegal values are converted to the appropriate “zero” value for the type."
"3. What is the command to see the warning messages?
a) DISPLAY WARNINGS
b) DISP WARNINGS
c) DISP WARNING
d) SHOW WARNINGS
View Answer","Answer: d
Explanation: In MySQL, the default value conversions are reported as warnings for INSERT, REPLACE and UPDATE statements. The SHOW WARNINGS command is used after executing one of those statements to see the warning messages."
"4. The SQL mode to check for divide by zero error is ________________
a) STRICT_ALL_TABLES
b) ERROR_FOR_DIVISION_BY_ZERO
c) ERROR_DIVIDE_BY_ZERO
d) ERROR_WHEN_DIVIDE_BY_ZERO
View Answer","Answer: b
Explanation: To enable the check for divide by zero errors int all the storage engines, the SQL mode named ‘ERROR_FOR_DIVISION_BY_ZERO’ can be enabled. This is done by using SET sql_mode = ‘mode_name’."
"5. Which mode is used to turn on strict mode and all of the additional restrictions?
a) STRICT_ALL_TABLES
b) ERROR_FOR_DIVISION_BY_ZERO
c) TRADITIONAL
d) ERROR_WHEN_DIVIDE_BY_ZERO
View Answer","Answer: c
Explanation: The ‘TRADITIONAL’ mode is used to enable the strict mode and all of the additional restrictions. It is done by the command SET sql_mod = ‘TRADITIONAL’; The other SQL modes have other functions."
"6. Which mode is a shorthand for ‘both strict modes plus a bunch of other restrictions’?
a) STRICT_ALL_TABLES
b) STRICT_TRANS_TABLES
c) TRADITIONAL
d) ERROR_WHEN_DIVIDE_BY_ZERO
View Answer","Answer: c
Explanation: In MySQL, the ‘TRADITIONAL’ mode is used to enable the strict mode. It also enables all of the additional restrictions by the command ‘SET sql_mod = ‘TRADITIONAL” The other SQL modes have other functions."
"7. Which mode prevents MySQL to perform full checking of date parts?
a) ALLOW_DATES_INVALID
b) ALLOW_INVALID_DATES
c) PREVENT_DATE_CHECK
d) STOP_DATES_CHECK
View Answer","Answer: b
Explanation: In MySQL, it is also possible to selectively weaken the strict mode at some places. If the ALLOW_INVALID_DATES SQL mode is enabled, MySQL doesn’t perform full checking of the date parts."
"8. Which keyword suppresses errors?
a) SUPPRESS
b) STOP
c) PREVENT
d) IGNORE
View Answer","Answer: d
Explanation: In MySQL, to suppress errors, IGNORE keyword is used with INSERT or UPDATE statements. With the IGNORE clause, statements that would result in an error due to invalid values result only in a warning."
"9. Which mode prevents entry of the ‘zero’ date value in strict mode?
a) SUPPRESS
b) NO_ZERO_DATE
c) PREVENT
d) NO_ZERO_IN_DATE
View Answer","Answer: b
Explanation: The ‘NO_ZERO_DATE’ prevents the entry of the ‘zero’ date value in strict mode. In MySQL, to suppress errors, the IGNORE keyword is used with INSERT or UPDATE statements."
"10. STRICT_ALL_TABLES turns on stricter checking of data values.
a) True
b) False
View Answer","Answer: a
Explanation: The SQL mode ‘STRICT_ALL_TABLES’ turns on the stricter checking of inserted or the updated data values. This can also be done with the ‘STRICT_TRANS_TABLES’ mode for transactionals."
"1. Which column attribute provides unique numbers for identification?
a) AUTO_INCREMENT
b) UNSIGNED
c) IDENTIFY
d) DESCRIBE
View Answer","Answer: a
Explanation: In MySQL, the mechanism for providing unique numbers is through the AUTO_INCREMENT column attribute. It enables the generation of sequential numbers automatically. This facilitates identification."
"2. There can be only one column per table with the AUTO_INCREMENT attribute.
a) True
b) False
View Answer","Answer: a
Explanation: In MySQL, there can only be one column per table with the AUTO_INCREMENT attribute. It should also have an integer data type. The AUTO_INCREMENT is also allowed for floating point types."
"3. The AUTO_INCREMENT sequences normally begin at __________
a) 0
b) 1
c) -1
d) 2
View Answer","Answer: b
Explanation: The AUTO_INCREMENT column attribute provides unique numbers for column identification. AUTO_INCREMENT sequences normally begin at 1 and increase monotonically like 1, 2, 3, and so on."
"4. The value of recently generated sequence number can be obtained by ____________
a) LAST_INSERT_ID()
b) LATEST_INSERT_ID()
c) INITIAL_INSERT_ID()
d) INSERT_ID()
View Answer","Answer: a
Explanation: The value of most recently generated sequence number can be obtained by calling the LAST_INSERT_ID() function. This enables to reference the AUTO_INCREMENT value in the subsequent statement."
"5. When no AUTO_INCREMENT value has been generated during the current connection, LAST_INSERT_ID() returns ____________
a) -1
b) 0
c) 1
d) 2
View Answer","Answer: b
Explanation: The ‘LAST_INSERT_ID()’ function returns zero when no ‘AUTO_INCREMENT’ value has been generated during the current connection with the server. It is tied to the current connection."
"6. The ‘LAST_INSERT_ID()’ is tied only to the ‘AUTO_INCREMENT’ values generated during the current connection to the server.
a) True
b) False
View Answer","Answer: a
Explanation: The ‘LAST_INSERT_ID()’ is tied only to AUTO_INCREMENT values that are generated during the current connection to the server. It is not affected by AUTO_INCREMENT tied with the other clients."
"7. Suppose the last row has the AUTO_INCREMENT column value 32. Suppose a new row is added by setting AUTO_INCREMENT value equal to 100. The next row added will have value _____________
a) 32
b) 33
c) 100
d) 101
View Answer","Answer: d
Explanation: If the new value is larger than the current next sequence number, then the sequence is reset to continue with the next value after that for the following rows. In this way, “bumping up” the counter is done."
"8. The number of rows in the table is 10. Suppose all rows are deleted. The new row starts with sequence number _____________
a) 11
b) 1
c) 100
d) 101
View Answer","Answer: b
Explanation: When the row containing the largest value in an AUTO_INCREMENT column is deleted, that value is reused the next time a new value is generated. In this case the sequence number is 1."
"9. In a MyISAM table, if the maximum value of an AUTO_INCREMENT increment column is 12 and that row is deleted, the next value generated is _____________
a) 12
b) 13
c) 1
d) 14
View Answer","Answer: b
Explanation: In the MyISAM tables, AUTO_INCREMENT sequences normally are monotonic. The values in an automatically generated series are strictly increasing. They are not reused when rows are deleted."
"10. In MyISAM tables, when a table is emptied with the TRUNCATE TABLE, the counter begins at _____________
a) 0
b) 1
c) -1
d) arbitrary
View Answer","Answer: b
Explanation: In the MyISAM tables, whenever a table is truncated with the ‘TRUNCATE TABLE’ clause, the ‘AUTO_INCREMENT’ counter again gets reset. It begins with the value one and increases monotonically."
"1. The expression 12 DIV 5 evaluates to ____________
a) 2.4
b) 2
c) error
d) 0
View Answer","Answer: b
Explanation: The ‘DIV’ operator in MySQL is used to perform the integer divisions. The operator ‘/’ performs the quotient of the operands. If result exceeds the 64-bit range, unpredicted results are shown."
"2. If the PIPES_AS_CONCAT is disabled, ‘abc’ || ‘xyz’ results in ____________
a) 1
b) 0
c) error
d) -1
View Answer","Answer: b
Explanation: When the SQL mode PIPES_AS_CONCAT is disabled, the SQL standard ‘||’ operation for string concatenation is not valid in MySQL. Both operands are converted to zero. So the result is zero."
"3. ‘abc’ || ‘xyz’, when PIPES_AS_CONCAT is enabled, results in ____________
a) 0
b) 1
c) abcxyz
d) xyzabc
View Answer","Answer: c
Explanation: If the SQL mode PIPES_AS_CONCAT has been enabled, the SQL standard ‘||’ operation for string concatenation becomes valid in MySQL. Both operands are concatenated to give ‘abcxyz’."
"4. The expression ‘2 BETWEEN 2 AND 5’ results in ____________
a) True
b) False
c) -1
d) 2
View Answer","Answer: a
Explanation: The ‘BETWEEN ……. AND’ clause is used to return a boolean value, if the given operand value lies between the values specified by the ‘AND’ clause. The range endpoints are inclusive."
"5. REGEXP takes collation into account.
a) True
b) False
View Answer","Answer: b
Explanation: MySQL provides pattern matching based on the ‘REGEXP’ operator and regular expressions that are similar to those used in Unix programs, namely, grep, sed and vi. REGEXP does not take collation into account."
"6. The expression ‘HI’ LIKE NULL results in _____________
a) True
b) False
c) NULL
d) 0
View Answer","Answer: c
Explanation: In MySQL, any pattern matching that is performed with the ‘NULL’ operand, fails. Expressions like: ‘abcdef’ LIKE NULL, NULL LIKE ‘%’, all result into the value NULL. NULL is not used to perform comparisons."
"7. If the operands are non binary strings, LIKE compares them according to their collation.
a) True
b) False
View Answer","Answer: a
Explanation: In MySQL, the LIKE operator compares its operands as binary strings if either operand is a binary string. If the operands are non binary strings, the LIKE operator compares them according to their collation."
"8. The number of strings among the following matched with ‘%all%’ is _____________a) 1
b) 2
c) 3
d) 4
View Answer","Answer: d
Explanation: In MySQL, the wildcard characters may be specified anywhere in a pattern. The ‘%’ wildcard is used to match variable number of characters. Here, the wildcard matches all the four words."
"9. Which of the following is the correct order of precedence (high to low)?
a) !, ^, <<, XOR
b) ^, !,  <<, XOR
c) !,  <<, XOR, ^
d) !, ^, XOR,  <<
View Answer","Answer: a
Explanation: When MySQL evaluates an expression, it looks at the operators to determine the order in which it should group the terms of the expression. Some operators have higher precedence, and evaluated earlier than others."
"10. 0x61 + 0 results in _____________
a) 0
b) ‘a’
c) 97
d) arbitrary
View Answer","Answer: c
Explanation: The hexadecimal constants are treated as binary strings unless the context indicates a number. In the string contexts, each pair of hexadecimal digits is converted to a character, then the result is used as a string."
"1. The AUTO_INCREMENT column attribute is best used with which type?
a) FLOAT
b) INT
c) CHARACTER
d) DOUBLE
View Answer","Answer: b
Explanation: The AUTO_INCREMENT is a column attribute and it is best used with the integer datatypes. It automatically assigns monotonically increasing values to the AUTO_INCREMENT columns."
"2. Which datatype is best suited to store currency values?
a) INT
b) FLOAT
c) DOUBLE
d) DECIMAL
View Answer","Answer: d
Explanation: Currency is a numeric information. For monetary calculations, FLOAT and DOUBLE are subject to rounding error and may not be suitable. A DECIMAL(M, 2) type is best suited for it."
"3. MySQL provides a date type that has an optional time part.
a) True
b) False
View Answer","Answer: b
Explanation: In MySQL, there is no data type provided which has an optional time part. The ‘DATE’ type values never have a time part. The ‘DATETIME’ type values must have a time part in them."
"4. If a column is expected to store values up to 2 million, the best datatype for it is _____________
a) SMALLINT
b) TINYINT
c) MEDIUMINT
d) BIGINT
View Answer","Answer: d
Explanation: The different numeric types used in MySQL are used to store different range of values. To store values of the order of a million, the MEDIUMINT or BIGINT datatype is sufficient."
"5. Which of these types store the longest length of strings?
a) CHAR
b) VARCHAR
c) TINYTEXT
d) TEXT
View Answer","Answer: d
Explanation: in MySQL, the different string datatypes are used to store different lenghts of the string. Here, the length would refer to the number of characters in the string. TEXT stores longer strings."
"6. AUTO_INCREMENT columns must be NOT NULL.
a) True
b) False
View Answer","Answer: a
Explanation: The ‘AUTO_INCREMENT’ columns must be NOT NULL. If the NOT NULL is omitted, MySQL adds it automatically. AUTO_INCREMENT column values begin with 1 and increase monotonically after it."
"7. Which of these values is not valid as an AUTO_INCREMENT value?
a) 0
b) 1
c) 2
d) 3
View Answer","Answer: a
Explanation: In MySQL, the ‘AUTO_INCREMENT’ values are a sequence of unique values assigned to the columns such that they increase monotonically. They begin with the value 1 and increment by a unit."
"8. If an integer column is used for the values in range 1 to 99999, the best suitable datatype is ____________
a) MEDIUMINT SIGNED
b) MEDIUMINT UNSIGNED
c) SMALLINT SIGNED
d) SMALLINT UNSIGNED
View Answer","Answer: b
Explanation: Since the range starts from the positive value 1, it is best to keep the datatype as UNSIGNED. The maximum value is of the order of 10^5, so a MEDIUMINT datatype is well suited."
"9. INT2 maps to MySQL type _____________
a) TINYINT
b) SMALLINT
c) MEDIUMINT
d) BIGINT
View Answer","Answer: b
Explanation: In order to facilitate the use of code written for SQL implementations from other vendors, MySQL maps the data types from the other vendor types to the appropriate MySQL type."
"10. INT3 maps to MySQL type _____________
a) TINYINT
b) SMALLINT
c) MEDIUMINT
d) BIGINT
View Answer","Answer: c
Explanation: In order to facilitate the use of the code written for SQL implementations (reusability of code) from other vendors, MySQL maps the data types from the other vendor types to the appropriate MySQL type."
"1. Which of these return a result to the client?
a) Stored functions
b) Stored procedures
c) Triggers
d) Events
View Answer","Answer: a
Explanation: Stored functions return a result from a calculation and can be used in expressions. Stored procedures do not return a result directly but can be used to perform general computations."
"2. Which of these is defined to execute when the table is modified only?
a) Stored functions
b) Stored procedures
c) Triggers
d) Events
View Answer","Answer: c
Explanation: In MySQL, triggers are associated with a table. They are defined to execute when the table is modified via INSERT, DELETE or UPDATE statements. MySQL supports objects to be stored on server side."
"3. What executes on a time activated basis according to a schedule?
a) Stored program
b) Events
c) Triggers
d) Stored procedures
View Answer","Answer: b
Explanation: In MySQL, the events execute on a time activated basis according to a schedule. Triggers are defined to execute when the table is modified via INSERT, DELETE or UPDATE statements."
"4. Stored programs improve database security.
a) True
b) False
View Answer","Answer: a
Explanation: Stored programs improve database security because controlled access can be enabled to sensitive data by appropriate selection of the privileges a program has when it executes."
"5. Which character does the mysql client program recognize as a statement delimiter?
a) :
b) .
c) ;
d) ,
View Answer","Answer: c
Explanation: By default, mysql itself recognizes the semicolon as a statement delimiter, so the delimiter must be redefined temporarily to cause mysql to pass the entire stored program definition to the server."
"6. Which command is used to redefined the mysql delimiter?
a) redefine_delim
b) delim_redefine
c) delimiter
d) redefine
View Answer","Answer: c
Explanation: To redefine the mysql delimiter, the delimiter command is used. A delimiter is a sequence of characters. It specifies the boundary between the separate regions in data streams."
"7. Which of the following characters cannot be used as a delimiter?
a) ,
b) .
c) ;
d) \
View Answer","Answer: d
Explanation: In MySQL, the character backslash character is reserved for specifying escape sequences. For example, the escape sequence ‘\t’ specifies a tab space character. It cannot be used as a delimiter."
"8. Stored routines refers to stored functions and procedures.
a) True
b) False
View Answer","Answer: a
Explanation: In MySQL, the stored routines is a limited term. It refers only to the stored functions and procedures. Both types of objects are defined using the similar syntax and are discussed together."
"9. Stored programs refer to stored objects of how many of the following types?a) 0
b) 1
c) 3
d) 4
View Answer","Answer: d
Explanation: In MySQL, the “stored programs” refers collectively to the stored objects of all types, namely, the functions, procedures, triggers, and events. They improve database security."
"10. Which of the following statements does not modify the table?
a) INSERT
b) UPDATE
c) DELETE
d) SELECT
View Answer","Answer: d
Explanation: In MySQL, the ‘SELECT’ statement is used to display the tables or their components according to some specified conditions and clauses. It does not modify the table unlike the others."
"1. To produce a stored function, which statement is used?
a) PRODUCE FUNCTION
b) CREATE FUNCTION
c) PRODUCE PROCEDURE
d) CREATE PROCEDURE
View Answer","Answer: b
Explanation: The ‘CREATE FUNCTION’ statement is used to create a stored function in MySQL. The ‘CREATE PROCEDURE’ statement is used to create a stored procedure instead, from which values are not returned."
"2. How many values can be returned from a given stored function?
a) 0
b) 1
c) 2
d) 3
View Answer","Answer: b
Explanation: In MySQL, the stored function cannot return multiple values. Instead, multiple stored functions can be written and invoked from within a single statement however, they are different from stored procedures."
"3. How many values can be returned from a stored procedure?
a) 0
b) 1
c) 2
d) 3
View Answer","Answer: a
Explanation: In MySQL, unlike the stored functions, the stored procedures cannot return values. They can be used to perform calculations or produce the result sets passed back to the clients."
"4. Suppose a stored function named PI() is written in the database ‘sampdb’. How would it be called?
a) PI()
b) sampdb.PI()
c) MySQL.PI()
d) db.PI()
View Answer","Answer: b
Explanation: When a stored function is defined with the same name as a built in function, the function name should be qualified with the database name when it is invoked. The function ‘PI()’ is built in."
"5. Which privilege must be given to the database to create a stored function or procedure?
a) CREATE ROUTINE
b) CREATE METHOD
c) CREATE FUNCTION
d) CREATE PROCEDURE
View Answer","Answer: a
Explanation: The ‘CREATE ROUTINE’ privilege must be given for the database in order to create a stored function or procedure. Stored functions and procedures always belong to a particular database."
"6. Which variable is set to zero when automatic privilege granting is not needed?
a) automatic_sp_privileges
b) automatic_ps_privileges
c) automatic_pg_privileges
d) automatic_gp_privileges
View Answer","Answer: a
Explanation: The automatic_sp_privileges system variable is set to zero when the automatic privilege granting is not needed and revocation should not be allowed to occur. It is a crucial system variable."
"7. Which procedure parameter enables the caller to pass in a value and get back a value?
a) IN
b) OUT
c) INOUT
d) GETINOUT
View Answer","Answer: c
Explanation: In an IN parameter, the caller passes a value into the procedure. An OUT parameter is exactly the opposite. The ‘INOUT’ parameter enables the caller to pass in a value and also to get back a value."
"8. The IN, OUT and INOUT keywords do not apply to stored functions.
a) True
b) False
View Answer","Answer: a
Explanation: The IN, OUT and INOUT keywords do not apply to stored functions, triggers and events. Triggers and events do not have parameters at all. For the stored functions, all parameters are like IN parameters."
"9. For the same input parameters, if the stored function returns the same result, it is called _____________
a) deterministic
b) non deterministic
c) regular
d) monotonous
View Answer","Answer: a
Explanation: For the same input parameters, if the stored function returns the same result, it is called a deterministic function. Otherwise, the stored function is called not deterministic."
"10. What is abc in the following MySQL statement?a) action
b) condition value
c) statement
d) null
View Answer","Answer: a
Explanation: The ‘DECLARE HANDLER’ statement is used to declare a handler. When a condition whose value matches def, MySQL will execute ghi and either continue or exit the current code block."
"1. Triggers enable to enforce data integrity constraints.
a) True
b) False
View Answer","Answer: a
Explanation: In MySQL, a trigger can examine or change new data values to be inserted or used to update a row in a table. This enables the enforcement of the data integrity constraints."
"2. Which statement is used to create a trigger?
a) CREATE TRIGGER
b) CREATE TRIGGERS
c) PRODUCE TRIGGER
d) PRODUCE TRIGGERS
View Answer","Answer: a
Explanation: In order to create a trigger, the CREATE TRIGGER statement is used. The definition indicates the particular type of statement for which the trigger activates and whether it activates before or after the rows are modified."
"3. For which of the following are triggers not supported?
a) delete
b) update
c) insert
d) views
View Answer","Answer: d
Explanation: In MySQL, the triggers are run only after the table modifications like insert, update and delete are run. Triggers are not supported for views. In order to create a trigger, the CREATE TRIGGER statement is used."
"4. Which statement is used to remove a trigger?
a) REMOVE
b) DELETE
c) DROP
d) CLEAR
View Answer","Answer: c
Explanation: In order to delete a trigger, the DROP TRIGGER statement is used. The DROP TRIGGER construct is used by writing the phrase ‘DROP TRIGGER’ followed by the scheme name specification."
"5. Before MySQL 5.1.6 which privilege was required to create and drop triggers?
a) PRIVILEGE
b) TRIGGER
c) SUPER
d) MACRO
View Answer","Answer: c
Explanation: The privilege to create and drop triggers is version specific in MySQL. Before MySQL 5.1.6, the SUPER privilege was needed. Access control is more correctly handled post this version."
"6. The TRIGGER privilege is used for the table to be able to create and drop triggers for it.
a) True
b) False
View Answer","Answer: a
Explanation: In MySQL, because a trigger is associated with a table, the TRIGGER privilege is a must for that table to be able to create and drop triggers for it. The SUPER privilege was used pre 5.1.6."
"7. What is abc in the following MySQL statement?a) trigger name
b) table name
c) trigger statement
d) update statement
View Answer","Answer: a
Explanation: In MySQL, the trigger creation construct is the ‘CREATE TRIGGER’ construct. It specifies the trigger name, the type of statement for which it is activated, and the table name and statement."
"8. What is def in the following MySQL statement?a) trigger name
b) table name
c) trigger statement
d) update statement
View Answer","Answer: b
Explanation: The trigger creation construct in MySQL is the ‘CREATE TRIGGER’ construct. It specifies components like the trigger name, the type of statement for which it is activated, and the table name and statement."
"9. What is ghi in the following MySQL statement?a) trigger name
b) table name
c) trigger statement
d) update statement
View Answer","Answer: c
Explanation: In MySQL, the trigger creation construct is the ‘CREATE TRIGGER’ construct. It specifies components like the trigger name, the type of statement for which it is activated, and the table name and statement."
"10. What is def in the following MySQL statement?a) action
b) condition value
c) statement
d) null
View Answer","Answer: b
Explanation: The ‘DECLARE HANDLER’ statement is used to declare a handler. When a condition whose value matches def, MySQL will execute ghi and either continue or exit the current code block."
"1. Which of these is a stored program associated with a schedule?
a) Trigger
b) Event
c) Stored function
d) Stored procedure
View Answer","Answer: b
Explanation: The MySQL version 5.1.6 and above has an event scheduler. It enables us to perform time activated database operations. An event is a stored program that is associated with a schedule."
"2. The event scheduler does not run by default.
a) True
b) False
View Answer","Answer: a
Explanation: The event scheduler does not run by default, so it must be turned on if events are to be used. An event is a stored program that is associated with a schedule to perform database operations."
"3. Which of the following lines is used to turn on the event scheduler?
a) event_scheduler = ON
b) eventscheduler = ON
c) event_scheduler_ON
d) events_scheduler_ON
View Answer","Answer: a
Explanation: The line ‘event_scheduler = ON’ is put in the option file that the server reads. The event scheduler does not run by default. It must be turned on if events are to used in the database."
